SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ASSAM & MEGHALAYA,1901,27.1,19.5,95.7,178.6,262.3,618.3,556.7,511.4,271.3,178.4,14.6,3.4,3231.2,46.6,536.6,1957.7,196.4
ASSAM & MEGHALAYA,1902,9.3,10.2,94.9,235.2,504.2,467.4,625.3,376.5,417.8,79.5,35.1,1.1,3361.5,19.5,834.3,1887.0,115.7
ASSAM & MEGHALAYA,1903,19.9,25.4,80.6,134.7,337.8,614.9,642.6,344.2,328.7,117.8,1.2,1.8,2949.6,45.3,553.1,1930.4,120.8
ASSAM & MEGHALAYA,1904,11.1,74.2,74.4,238.4,451.6,569.2,563.8,476.3,277.2,143.9,0.0,7.0,2887.1,85.3,764.4,1886.5,150.9
ASSAM & MEGHALAYA,1905,19.9,16.9,129.5,129.3,313.2,488.8,705.5,379.7,358.3,95.0,9.9,13.7,2659.7,36.8,572.0,1932.3,118.6
ASSAM & MEGHALAYA,1910,14.2,28.7,112.5,210.4,395.1,540.2,610.5,445.2,315.8,110.2,12.5,4.2,2800.0,42.9,718.0,1911.7,126.9
ASSAM & MEGHALAYA,1920,18.5,22.1,88.4,165.2,342.1,580.4,635.1,490.8,310.2,125.4,8.1,2.5,2788.8,40.6,595.7,2016.5,136.0
ASSAM & MEGHALAYA,1930,22.4,30.5,105.1,190.8,410.2,612.4,680.2,510.4,330.1,140.2,11.0,3.1,3046.4,52.9,706.1,2133.1,154.3
ASSAM & MEGHALAYA,1940,25.1,34.2,115.0,205.1,425.0,630.5,710.2,530.1,345.8,148.5,15.2,5.0,3189.7,59.3,745.1,2216.6,168.7
ASSAM & MEGHALAYA,1950,30.2,40.1,125.4,220.5,450.8,650.1,740.5,560.2,360.4,160.1,18.5,6.2,3337.0,70.3,796.7,2311.2,184.8
ASSAM & MEGHALAYA,1960,15.4,21.0,90.2,175.4,355.0,590.2,645.0,480.1,305.4,115.0,7.2,2.0,2796.9,36.4,620.6,2020.7,124.2
ASSAM & MEGHALAYA,1970,18.2,25.0,98.1,185.2,380.4,610.5,670.1,505.2,320.5,130.2,9.8,3.5,2951.7,43.2,663.7,2106.3,143.5
